,i,q,n
0,2358,900,14004.0
1,2407,1300,31213.0
2,2743,1800,56988.0
3,2936,1000,29920.0
4,2973,9300,41385.0
5,3158,22100,82212.0
6,3173,2200,29458.0
7,3191,1600,27440.0
8,3193,26000,121940.0
9,3243,900,32499.0
10,3270,12800,132864.0
11,3311,3200,33888.0
12,3459,900,31653.0
13,3530,100,10611.0
14,3587,1300,98111.0
15,3657,800,93040.0
16,3669,500,31335.0
17,3811,300,27228.0
18,1,200,3640.0
19,65,3100,28396.0
20,154,200,43286.0
21,210,1300,78338.0
22,295,800,12384.0
23,358,1400,63252.0
24,375,200,9150.0
25,404,6800,59772.0
26,614,1700,28271.0
27,686,300,11877.0
28,740,5900,26727.0
29,759,200,43996.0
30,766,1200,74004.0
31,823,500,13165.0
32,930,400,22360.0
33,1007,3400,98566.0
34,1024,400,9940.0
35,1046,100,18129.0
36,1158,200,19344.0
37,1253,100,13851.0
38,1516,200,11532.0
39,1556,1200,29748.0
40,1565,200,18148.0
41,1651,1100,28578.0
42,1682,800,28080.0
43,1689,2400,27312.0
44,1753,5200,25376.0
45,1809,2200,95634.0
46,1849,200,13876.0
